,Complexity,Type,Train_Loss,Val_Loss,Val_AccuracyTop1,Val_AccuracyTop3,Sub_class_size,Batch,Epoch
0,1,MLP,0.6496360898017883,0.5724009275436401,0.826848030090332,0.950916588306427,10,A,1
1,1,MLP,0.508332371711731,0.49739617109298706,0.8464813828468323,0.9531638026237488,10,A,2
2,1,MLP,0.4671083986759186,0.5087857246398926,0.8449438214302063,0.9565937519073486,10,A,3
3,1,MLP,0.4419412314891815,0.48633742332458496,0.8490833640098572,0.9574216604232788,10,A,4
4,1,MLP,0.42611199617385864,0.46026867628097534,0.8596097230911255,0.9589592218399048,10,A,5
5,1,MLP,0.41187089681625366,0.48175036907196045,0.8505026698112488,0.9571850895881653,10,A,6
6,1,MLP,1.2606720924377441,1.28721284866333,0.6560105681419373,0.8306280970573425,50,A,1
7,1,MLP,1.2512295246124268,1.2986124753952026,0.653978168964386,0.8284309506416321,50,A,2
8,1,MLP,1.246010661125183,1.2725189924240112,0.6602949500083923,0.8320562243461609,50,A,3
9,1,MLP,1.242506980895996,1.266082763671875,0.6643047332763672,0.832935094833374,50,A,4
10,2,MLP,0.6200636625289917,0.539412796497345,0.830632746219635,0.9535186290740967,10,A,1
11,2,MLP,0.48255661129951477,0.4632705748081207,0.8571259379386902,0.9574216604232788,10,A,2
12,2,MLP,0.4436088502407074,0.4794551730155945,0.8570076823234558,0.9584860801696777,10,A,3
13,2,MLP,0.4176975190639496,0.4660295248031616,0.8604376316070557,0.9571850895881653,10,A,4
14,2,MLP,0.40046924352645874,0.4729357659816742,0.8580721616744995,0.9584860801696777,10,A,5
15,2,MLP,0.38419291377067566,0.4605526030063629,0.8651685118675232,0.9591957330703735,10,A,6
16,2,MLP,0.373046338558197,0.4721224904060364,0.8650502562522888,0.9584860801696777,10,A,7
17,2,MLP,0.3607371151447296,0.46512699127197266,0.8670608997344971,0.9594323039054871,10,A,8
18,3,MLP,0.6394550800323486,0.5428377985954285,0.8357185125350952,0.9537551999092102,10,A,1
19,3,MLP,0.49192655086517334,0.5236461162567139,0.8387936353683472,0.9537551999092102,10,A,2
20,3,MLP,0.4505895972251892,0.4684002995491028,0.8546422123908997,0.9591957330703735,10,A,3
21,3,MLP,0.4211685359477997,0.47677353024482727,0.8567711710929871,0.956712007522583,10,A,4
22,3,MLP,0.4021818935871124,0.4447917938232422,0.8682436347007751,0.9610881209373474,10,A,5
23,3,MLP,0.38458386063575745,0.4504580795764923,0.8672974705696106,0.9606150388717651,10,A,6
24,4,MLP,0.6694749593734741,0.5249544382095337,0.8354819416999817,0.9542282819747925,10,A,1
25,4,MLP,0.5029463171958923,0.4865694046020508,0.8489651083946228,0.9581312537193298,10,A,2
26,4,MLP,0.45597827434539795,0.4826052784919739,0.8521584868431091,0.9612063765525818,10,A,3
27,4,MLP,0.4253305494785309,0.46158939599990845,0.8619751334190369,0.960496723651886,10,A,4
28,4,MLP,0.4034612774848938,0.4938405752182007,0.8484920263290405,0.9595505595207214,10,A,5
29,4,MLP,0.38637715578079224,0.4637330174446106,0.863631010055542,0.959787130355835,10,A,6
30,5,MLP,0.7613824605941772,0.5013230443000793,0.8462448120117188,0.9571850895881653,10,A,1
31,5,MLP,0.6041957139968872,0.4427762031555176,0.8662329912185669,0.9614429473876953,10,A,2
32,5,MLP,0.5416944622993469,0.40666526556015015,0.8791247606277466,0.9627439379692078,10,A,3
33,5,MLP,0.5033936500549316,0.3887813091278076,0.8832643628120422,0.9649911522865295,10,A,4
34,5,MLP,0.472861111164093,0.3672456443309784,0.8898876309394836,0.9657007455825806,10,A,5
35,5,MLP,0.44896894693374634,0.3648761808872223,0.8884683847427368,0.9672383069992065,10,A,6
36,5,MLP,0.4288380742073059,0.35498377680778503,0.8911886215209961,0.9691306948661804,10,A,7
37,5,MLP,0.41249874234199524,0.34824204444885254,0.8941454887390137,0.9688941240310669,10,A,8
38,5,MLP,0.3981212377548218,0.34147173166275024,0.8973388671875,0.9697220325469971,10,A,9
39,5,MLP,0.3857609033584595,0.33688217401504517,0.8974571228027344,0.9707865118980408,10,A,10
40,5,MLP,0.37353214621543884,0.341548889875412,0.8981667757034302,0.9703134298324585,10,A,11
41,5,MLP,0.363648921251297,0.3401387929916382,0.8961561322212219,0.9698403477668762,10,A,12
42,6,MLP,0.698089599609375,0.4764902889728546,0.8559432029724121,0.9586043953895569,10,A,1
43,6,MLP,0.5550491809844971,0.41966336965560913,0.8726197481155396,0.9627439379692078,10,A,2
44,6,MLP,0.49736183881759644,0.38011619448661804,0.8848018646240234,0.9661738872528076,10,A,3
45,6,MLP,0.4521160423755646,0.3637091815471649,0.8896511197090149,0.9661738872528076,10,A,4
46,6,MLP,0.4189266562461853,0.3515942394733429,0.8933175802230835,0.9692489504814148,10,A,5
47,6,MLP,0.3954218626022339,0.34775033593177795,0.8967474699020386,0.9699586033821106,10,A,6
48,6,MLP,0.37486550211906433,0.3344867527484894,0.8985216021537781,0.9705499410629272,10,A,7
49,6,MLP,0.3567769229412079,0.3349575400352478,0.8966292142868042,0.971614420413971,10,A,8
50,6,MLP,0.3424709737300873,0.3371315002441406,0.8971022963523865,0.9698403477668762,10,A,9
51,6,MLP,0.33086708188056946,0.3367273509502411,0.9005322456359863,0.9692489504814148,10,A,10
52,6,MLP,0.31595921516418457,0.3405522108078003,0.8965109586715698,0.969367265701294,10,A,11
53,6,MLP,0.30686286091804504,0.3213219940662384,0.9044352173805237,0.9723240733146667,10,A,12
54,6,MLP,1.627877116203308,1.0304242372512817,0.7167065143585205,0.873472273349762,50,A,1
55,6,MLP,1.2884570360183716,0.9086903929710388,0.7515860795974731,0.8912965655326843,50,A,2
56,6,MLP,1.1782230138778687,0.8558255434036255,0.7655928134918213,0.8992337584495544,50,A,3
57,6,MLP,1.117862343788147,0.8173138499259949,0.7792425155639648,0.9045343399047852,50,A,4
58,6,MLP,1.0780420303344727,0.7977803945541382,0.7831699252128601,0.9071159958839417,50,A,5
59,6,MLP,1.0468573570251465,0.7619794011116028,0.7923704385757446,0.9098349213600159,50,A,6
60,6,MLP,1.0195025205612183,0.7539397478103638,0.7966548800468445,0.9126912355422974,50,A,7
61,6,MLP,1.0013427734375,0.7476183176040649,0.796517550945282,0.912608802318573,50,A,8
62,6,MLP,0.9844430685043335,0.7380589246749878,0.7991541028022766,0.9139820337295532,50,A,9
63,7,CNN,0.5409446358680725,0.3723910450935364,0.8870490789413452,0.9675931334495544,10,A,1
64,7,CNN,0.34083065390586853,0.3225639760494232,0.900059163570404,0.970076858997345,10,A,2
65,7,CNN,0.29513421654701233,0.31947001814842224,0.9052631855010986,0.9704316854476929,10,A,3
66,7,CNN,0.27203047275543213,0.29178154468536377,0.9117681980133057,0.9729154109954834,10,A,4
67,7,CNN,0.2580595016479492,0.2802017033100128,0.9180366396903992,0.9733885526657104,10,A,5
68,7,CNN,0.246429443359375,0.2892099618911743,0.9160259962081909,0.971259593963623,10,A,6
69,7,CNN,0.2360709309577942,0.3210596740245819,0.909166157245636,0.9699586033821106,10,A,7
70,7,CNN,1.2475823163986206,1.0352987051010132,0.7244554162025452,0.8699620366096497,50,A,1
71,7,CNN,1.0044410228729248,1.0008829832077026,0.7345378994941711,0.874021589756012,50,A,2
72,7,CNN,0.9625511765480042,0.9769020676612854,0.7417283654212952,0.8780280947685242,50,A,3
73,7,CNN,0.9417441487312317,0.9838409423828125,0.7391546368598938,0.8754278421401978,50,A,4
74,7,CNN,0.9288288354873657,0.9344425201416016,0.753349781036377,0.8835999965667725,50,A,5
75,7,CNN,0.9222108721733093,0.9654564261436462,0.7476451992988586,0.8808140158653259,50,A,6
76,7,CNN,0.9154086709022522,0.911237359046936,0.7582584023475647,0.8862267732620239,50,A,7
77,8,CNN,0.38530948758125305,0.31916990876197815,0.9115316271781921,0.9725606441497803,10,A,1
78,8,CNN,0.2863369882106781,0.2742508053779602,0.920283854007721,0.975872278213501,10,A,2
79,8,CNN,0.2613920569419861,0.2509624660015106,0.9308101534843445,0.9768184423446655,10,A,3
80,8,CNN,0.24641762673854828,0.2593362629413605,0.9250147938728333,0.9755174517631531,10,A,4
81,8,CNN,0.23524200916290283,0.2519458532333374,0.9271436929702759,0.9763453602790833,10,A,5
82,8,CNN,0.22807300090789795,0.24524715542793274,0.9305736422538757,0.978119432926178,10,A,6
83,8,CNN,0.22360438108444214,0.2438008040189743,0.9290360808372498,0.9791839122772217,10,A,7
84,9,CNN,0.34657078981399536,0.2592329680919647,0.9271436929702759,0.9755174517631531,10,A,1
85,9,CNN,0.22806864976882935,0.21480073034763336,0.939089298248291,0.9802483916282654,10,A,2
86,9,CNN,0.19203968346118927,0.21008391678333282,0.9402720332145691,0.9809579849243164,10,A,3
87,9,CNN,0.1668892651796341,0.2105332911014557,0.9401537775993347,0.9811945557594299,10,A,4
88,9,CNN,0.14545273780822754,0.21415653824806213,0.9429923295974731,0.9811945557594299,10,A,5
89,9,CNN,0.1271236687898636,0.21981576085090637,0.9409816861152649,0.9813128113746643,10,A,6
90,9,CNN,0.11129658669233322,0.2236495316028595,0.9405086040496826,0.9814311265945435,10,A,7
91,9,CNN,0.7054897546768188,0.5607708692550659,0.857625424861908,0.9382054805755615,50,A,1
92,9,CNN,0.5368255972862244,0.5338634252548218,0.865342915058136,0.9410068392753601,50,A,2
93,9,CNN,0.4924607574939728,0.530954122543335,0.8659196496009827,0.9417483806610107,50,A,3
94,9,CNN,0.46526065468788147,0.5258378982543945,0.86951744556427,0.942846953868866,50,A,4
95,9,CNN,0.44669288396835327,0.5208966135978699,0.871412456035614,0.9437807202339172,50,A,5
96,9,CNN,0.43203654885292053,0.5236595273017883,0.8707533478736877,0.9421054124832153,50,A,6
97,9,CNN,0.4198053479194641,0.5359969139099121,0.8694899678230286,0.9425448179244995,50,A,7
98,10,CNN,0.36582791805267334,0.2891113758087158,0.9154346585273743,0.9744529724121094,10,A,1
99,10,CNN,0.268394410610199,0.243917316198349,0.9289178252220154,0.9753991961479187,10,A,2
100,10,CNN,0.22949399054050446,0.2241525799036026,0.9350680112838745,0.978119432926178,10,A,3
101,10,CNN,0.2023441195487976,0.23195844888687134,0.9342401027679443,0.9762271046638489,10,A,4
102,10,CNN,0.17951704561710358,0.21966369450092316,0.9395623803138733,0.9768184423446655,10,A,5
103,10,CNN,0.15668386220932007,0.22208938002586365,0.9371969103813171,0.9800118207931519,10,A,6
104,10,CNN,0.1349201798439026,0.2227323353290558,0.9358959197998047,0.9783560037612915,10,A,7
105,11,CNN,0.3906243145465851,0.2660273313522339,0.9205204248428345,0.9755174517631531,10,A,1
106,11,CNN,0.2773801386356354,0.2989005744457245,0.9097575545310974,0.9703134298324585,10,A,2
107,11,CNN,0.24381870031356812,0.22833091020584106,0.9338852763175964,0.9780011773109436,10,A,3
108,11,CNN,0.22041727602481842,0.23334822058677673,0.9321112036705017,0.9753991961479187,10,A,4
109,11,CNN,0.20279109477996826,0.22132635116577148,0.9374334812164307,0.9791839122772217,10,A,5
110,11,CNN,0.18986818194389343,0.22628167271614075,0.9360141754150391,0.9783560037612915,10,A,6
111,11,CNN,0.17679236829280853,0.2199878692626953,0.9388527274131775,0.9788290858268738,10,A,7
112,12,CNN,0.32867205142974854,0.23072439432144165,0.9338852763175964,0.9771732687950134,10,A,1
113,12,CNN,0.2214350402355194,0.21096454560756683,0.9381431341171265,0.9776463508605957,10,A,2
114,12,CNN,0.187262624502182,0.19285055994987488,0.942874014377594,0.9807214736938477,10,A,3
115,12,CNN,0.166389599442482,0.18610303103923798,0.9452394843101501,0.9811945557594299,10,A,4
116,12,CNN,0.14931607246398926,0.19898177683353424,0.9432288408279419,0.9815493822097778,10,A,5
117,12,CNN,0.13290615379810333,0.18753449618816376,0.9465405344963074,0.9811945557594299,10,A,6
118,12,CNN,0.11880943924188614,0.19869089126586914,0.9497339129447937,0.9827321171760559,10,A,7
119,13,CNN,0.32888534665107727,0.2277912050485611,0.932584285736084,0.9784742593765259,10,A,1
120,13,CNN,0.22598528861999512,0.19759447872638702,0.9403902888298035,0.9803666472434998,10,A,2
121,13,CNN,0.19919206202030182,0.1882307380437851,0.9441750645637512,0.9815493822097778,10,A,3
122,13,CNN,0.18230374157428741,0.18271450698375702,0.9452394843101501,0.9835600256919861,10,A,4
123,13,CNN,0.17075364291667938,0.17526942491531372,0.9490242600440979,0.9830869436264038,10,A,5
124,13,CNN,0.15902182459831238,0.18501213192939758,0.9463039636611938,0.9829686284065247,10,A,6
125,13,CNN,0.15211807191371918,0.17219722270965576,0.9507983326911926,0.9840331077575684,10,A,7
126,14,CNN,0.3469350039958954,0.2262781262397766,0.9321112036705017,0.9800118207931519,10,A,1
127,14,CNN,0.23392586410045624,0.2369791716337204,0.9306918978691101,0.9768184423446655,10,A,2
128,14,CNN,0.20166780054569244,0.18531395494937897,0.947131872177124,0.9809579849243164,10,A,3
129,14,CNN,0.18463484942913055,0.18039332330226898,0.9463039636611938,0.982377290725708,10,A,4
130,14,CNN,0.17048418521881104,0.1797969490289688,0.945949137210846,0.9842696785926819,10,A,5
131,14,CNN,0.15964649617671967,0.1740172654390335,0.9487876892089844,0.9834417700767517,10,A,6
132,14,CNN,0.14974164962768555,0.1755511611700058,0.9490242600440979,0.9822590351104736,10,A,7
133,15,CNN,0.37398460507392883,0.27400436997413635,0.9217031598091125,0.9726788997650146,10,A,1
134,15,CNN,0.25256970524787903,0.21193495392799377,0.9371969103813171,0.9777646660804749,10,A,2
135,15,CNN,0.22081515192985535,0.19728101789951324,0.9435836672782898,0.978592574596405,10,A,3
136,15,CNN,0.1978902816772461,0.18490907549858093,0.945949137210846,0.9816676378250122,10,A,4
137,15,CNN,0.18435557186603546,0.19771356880664825,0.945594310760498,0.9795387387275696,10,A,5
138,15,CNN,0.17139455676078796,0.18429912626743317,0.9473684430122375,0.9830869436264038,10,A,6
139,15,CNN,0.16036196053028107,0.1908937245607376,0.9450029730796814,0.980839729309082,10,A,7
140,15,CNN,0.845888614654541,0.6700918078422546,0.83049076795578,0.9212051033973694,50,A,1
